cub_category,scientific_name,inat_taxon_id
086.Pacific_Loon,Gavia pacifica,4621
087.Mallard,Anas platyrhynchos,6930
088.Western_Meadowlark,Sturnella neglecta,9535
089.Hooded_Merganser,Lophodytes cucullatus,7109
090.Red_breasted_Merganser,Mergus serrator,6996
091.Mockingbird,Unknown,-1
092.Nighthawk,Unknown,-1
093.Clark_Nutcracker,Nucifraga columbiana,8520
094.White_breasted_Nuthatch,Sitta carolinensis,14801
095.Baltimore_Oriole,Icterus galbula,9346
096.Hooded_Oriole,Icterus cucullatus,9319
097.Orchard_Oriole,Icterus spurius,9325
098.Scott_Oriole,Icterus parisorum,9318
099.Ovenbird,Seiurus aurocapilla,62550
100.Brown_Pelican,Pelecanus occidentalis,4328
101.White_Pelican,Unknown,-1
102.Western_Wood_Pewee,Contopus sordidulus,16079
103.Sayornis,Unknown,-1
104.American_Pipit,Anthus rubescens,13732
105.Whip_poor_Will,Unknown,-1
106.Horned_Puffin,Fratercula corniculata,4508
107.Common_Raven,Corvus corax,8010
108.White_necked_Raven,Corvus albicollis,8004
109.American_Redstart,Setophaga ruticilla,10247
110.Geococcyx,Unknown,-1
111.Loggerhead_Shrike,Lanius ludovicianus,12024
112.Great_Grey_Shrike,Lanius excubitor,559070
113.Baird_Sparrow,Centronyx bairdii,793284
114.Black_throated_Sparrow,Amphispiza bilineata,9943
115.Brewer_Sparrow,Spizella breweri,9144
116.Chipping_Sparrow,Spizella passerina,9135
117.Clay_colored_Sparrow,Spizella pallida,9148
118.House_Sparrow,Passer domesticus,13858
119.Field_Sparrow,Spizella pusilla,9152
120.Fox_Sparrow,Passerella iliaca,9156
121.Grasshopper_Sparrow,Ammodramus savannarum,10139
122.Harris_Sparrow,Zonotrichia querula,9182
123.Henslow_Sparrow,Centronyx henslowii,793285
124.Le_Conte_Sparrow,Ammospiza leconteii,437602
125.Lincoln_Sparrow,Melospiza lincolnii,9092
126.Nelson_Sharp_tailed_Sparrow,Ammospiza nelsoni,793286
127.Savannah_Sparrow,Passerculus sandwichensis,9981
128.Seaside_Sparrow,Ammospiza maritima,793292
129.Song_Sparrow,Melospiza melodia,9100
130.Tree_Sparrow,Unknown,-1
131.Vesper_Sparrow,Pooecetes gramineus,10168
132.White_crowned_Sparrow,Zonotrichia leucophrys,9176
133.White_throated_Sparrow,Zonotrichia albicollis,9184
134.Cape_Glossy_Starling,Lamprotornis nitens,14930
135.Bank_Swallow,Riparia riparia,11941
136.Barn_Swallow,Hirundo rustica,11901
137.Cliff_Swallow,Petrochelidon pyrrhonota,11858
138.Tree_Swallow,Tachycineta bicolor,11935
139.Scarlet_Tanager,Piranga olivacea,9921
140.Summer_Tanager,Piranga rubra,9915
141.Artic_Tern,Sterna paradisaea,4449
142.Black_Tern,Chlidonias niger,4512
143.Caspian_Tern,Hydroprogne caspia,144537
144.Common_Tern,Sterna hirundo,4450
145.Elegant_Tern,Thalasseus elegans,144542
146.Forsters_Tern,Sterna forsteri,4457
147.Least_Tern,Sternula antillarum,144530
148.Green_tailed_Towhee,Pipilo chlorurus,9419
149.Brown_Thrasher,Toxostoma rufum,14898
150.Sage_Thrasher,Oreoscoptes montanus,15045
151.Black_capped_Vireo,Vireo atricapilla,73557
152.Blue_headed_Vireo,Vireo solitarius,17402
153.Philadelphia_Vireo,Vireo philadelphicus,17364
154.Red_eyed_Vireo,Vireo olivaceus,891704
155.Warbling_Vireo,Vireo gilvus,17394
156.White_eyed_Vireo,Vireo griseus,17408
157.Yellow_throated_Vireo,Vireo flavifrons,17365
158.Bay_breasted_Warbler,Setophaga castanea,145236
159.Black_and_white_Warbler,Mniotilta varia,10286
160.Black_throated_Blue_Warbler,Setophaga caerulescens,199916
161.Blue_winged_Warbler,Vermivora cyanoptera,73553
162.Canada_Warbler,Cardellina canadensis,145275
163.Cape_May_Warbler,Setophaga tigrina,145231
164.Cerulean_Warbler,Setophaga cerulea,145232
165.Chestnut_sided_Warbler,Setophaga pensylvanica,145239
166.Golden_winged_Warbler,Vermivora chrysoptera,9807
167.Hooded_Warbler,Setophaga citrina,145229
168.Kentucky_Warbler,Geothlypis formosa,145225
169.Magnolia_Warbler,Setophaga magnolia,145235
170.Mourning_Warbler,Geothlypis philadelphia,145224
171.Myrtle_Warbler,Unknown,-1,subspecie
172.Nashville_Warbler,Leiothlypis ruficapilla,979753
173.Orange_crowned_Warbler,Leiothlypis celata,979757
174.Palm_Warbler,Setophaga palmarum,145242
175.Pine_Warbler,Setophaga pinus,145244
176.Prairie_Warbler,Setophaga discolor,145249
177.Prothonotary_Warbler,Protonotaria citrea,10729
178.Swainson_Warbler,Limnothlypis swainsonii,10442
179.Tennessee_Warbler,Leiothlypis peregrina,979756
180.Wilson_Warbler,Cardellina pusilla,145276
181.Worm_eating_Warbler,Helmitheros vermivorum,72912
182.Yellow_Warbler,Setophaga petechia,145238
183.Northern_Waterthrush,Parkesia noveboracensis,73149
184.Louisiana_Waterthrush,Parkesia motacilla,73148
185.Bohemian_Waxwing,Bombycilla garrulus,7429
186.Cedar_Waxwing,Bombycilla cedrorum,7428
187.American_Three_toed_Woodpecker,Picoides dorsalis,17638
188.Pileated_Woodpecker,Dryocopus pileatus,17855
189.Red_bellied_Woodpecker,Melanerpes carolinus,18205
190.Red_cockaded_Woodpecker,Dryobates borealis,792993
191.Red_headed_Woodpecker,Melanerpes erythrocephalus,18204
192.Downy_Woodpecker,Dryobates pubescens,792988
193.Bewick_Wren,Thryomanes bewickii,7576
194.Cactus_Wren,Campylorhynchus brunneicapillus,7470
195.Carolina_Wren,Thryothorus ludovicianus,7513
196.House_Wren,Troglodytes aedon,7562
197.Marsh_Wren,Cistothorus palustris,7601
198.Rock_Wren,Salpinctes obsoletus,7486
199.Winter_Wren,Troglodytes hiemalis,144883
200.Common_Yellowthroat,Geothlypis trichas,9721
